features,freq,normalized_freq
used when you bake cake,8.0,0.00551
used by the handyman,8.0,0.00551
hung on hallstand,8.0,0.00551
has little bells all round,8.0,0.00551
has a 'TAXI' plate on car,8.0,0.00551
has a dead corner,8.0,0.00551
has a wire,8.0,0.00551
has a filter,8.0,0.00551
has a head,8.0,0.00551
has a fuse/taper,8.0,0.00551
has a warm sound,8.0,0.00551
has big tires,8.0,0.00551
has small wheels,8.0,0.00551
has long (trousers)legs,8.0,0.00551
has ribbons,8.0,0.00551
has caterpillar treads,8.0,0.00551
is a basic tool,8.0,0.00551
is a boat,8.0,0.00551
is a handtool,8.0,0.00551
is a sort of pan,8.0,0.00551
is a means of transport,8.0,0.00551
is odourless,8.0,0.00551
is pleasant,8.0,0.00551
is handy to transport,8.0,0.00551
is smaller than a soup spoon,8.0,0.00551
is bent,8.0,0.00551
is hard to wash,8.0,0.00551
is useful in a forest,8.0,0.00551
is made of pottery,8.0,0.00551
is forbidden,8.0,0.00551
you can injure someone with it,8.0,0.00551
you have to have good lungs,8.0,0.00551
can be used by anyone,8.0,0.00551
can be worn as ornament,8.0,0.00551
can be used to polish nails,8.0,0.00551
can be written on,8.0,0.00551
clips together,8.0,0.00551
occurs often in films,8.0,0.00551
put on the table,8.0,0.00551
lies in a drawer,8.0,0.00551
does not produce sound,8.0,0.00551
produces different sounds,8.0,0.00551
usually drives on the right side of a highway,8.0,0.00551
smells nice,8.0,0.00551
was used in mines,8.0,0.00551
works with air,8.0,0.00551
is played while sitting,8.0,0.00551
used by criminals,8.0,0.00551
used to do the dishes,8.0,0.00551
used to attach things,8.0,0.00551
used to travel around the world,8.0,0.00551
used to saw something in two,8.0,0.00551
used to launch something,8.0,0.00551
used for shoveling,8.0,0.00551
used at farms,8.0,0.00551
used for grinding,8.0,0.00551
often stolen,8.0,0.00551
is tight,8.0,0.00551
it is absorbent,7.0,0.004132
protects against the wind,7.0,0.004132
is found in a workplace,7.0,0.004132
